"행정구역","2019년07월_총인구수","2019년07월_세대수","2019년07월_세대당 인구","2019년07월_남자 인구수","2019년07월_여자 인구수","2019년07월_남여 비율"
"서울특별시  (1100000000)","9,751,415","4,308,300","      2.26","4,759,105","4,992,310","      0.95"
"서울특별시 종로구 (1111000000)","151,858","73,790","      2.06","74,113","77,745","      0.95"
"서울특별시 중구 (1114000000)","126,414","62,481","      2.02","62,212","64,202","      0.97"
"서울특별시 용산구 (1117000000)","229,155","109,794","      2.09","110,619","118,536","      0.93"
"서울특별시 성동구 (1120000000)","304,292","136,703","      2.23","149,082","155,210","      0.96"
"서울특별시 광진구 (1121500000)","353,206","163,880","      2.16","171,454","181,752","      0.94"
"서울특별시 동대문구 (1123000000)","346,524","163,103","      2.12","172,446","174,078","      0.99"
"서울특별시 중랑구 (1126000000)","399,878","181,342","      2.21","198,454","201,424","      0.99"
"서울특별시 성북구 (1129000000)","441,170","190,698","      2.31","214,002","227,168","      0.94"
"서울특별시 강북구 (1130500000)","315,003","143,617","      2.19","153,827","161,176","      0.95"
"서울특별시 도봉구 (1132000000)","336,288","138,565","      2.43","164,502","171,786","      0.96"
"서울특별시 노원구 (1135000000)","537,146","217,227","      2.47","260,292","276,854","      0.94"
"서울특별시 은평구 (1138000000)","483,084","207,393","      2.33","233,224","249,860","      0.93"
"서울특별시 서대문구 (1141000000)","310,795","139,994","      2.22","149,494","161,301","      0.93"
"서울특별시 마포구 (1144000000)","373,756","173,852","      2.15","177,010","196,746","      0.90"
"서울특별시 양천구 (1147000000)","460,721","177,197","      2.60","226,599","234,122","      0.97"
"서울특별시 강서구 (1150000000)","595,057","261,662","      2.27","288,645","306,412","      0.94"
"서울특별시 구로구 (1153000000)","405,757","174,918","      2.32","200,648","205,109","      0.98"
"서울특별시 금천구 (1154500000)","233,827","109,849","      2.13","118,786","115,041","      1.03"
"서울특별시 영등포구 (1156000000)","368,895","173,940","      2.12","183,326","185,569","      0.99"
"서울특별시 동작구 (1159000000)","398,433","180,524","      2.21","193,251","205,182","      0.94"
"서울특별시 관악구 (1162000000)","502,212","267,243","      1.88","251,975","250,237","      1.01"
"서울특별시 서초구 (1165000000)","431,423","173,032","      2.49","206,406","225,017","      0.92"
"서울특별시 강남구 (1168000000)","542,576","231,093","      2.35","259,625","282,951","      0.92"
"서울특별시 송파구 (1171000000)","678,553","278,256","      2.44","328,786","349,767","      0.94"
"서울특별시 강동구 (1174000000)","425,392","178,147","      2.39","210,327","215,065","      0.98"
"부산광역시  (2600000000)","3,425,317","1,491,205","      2.30","1,682,209","1,743,108","      0.97"
"부산광역시 중구 (2611000000)","42,350","23,125","      1.83","20,799","21,551","      0.97"
"부산광역시 서구 (2614000000)","109,409","52,975","      2.07","53,209","56,200","      0.95"
